host,"Local hostname/device that emitted the log; if not present in audit records, populate from collector/agent metadata."
event_type,"Audit record category (e.g., USER_LOGIN, USER_CMD, SYSCALL); primary cue for aligning equivalent audit events."
event_id,"Audit event identifier derived from msg=audit(time:serial); groups multi-record bundles into one logical event."
user,"Primary account name referenced by the event (from acct); human-readable identity for attribution alignment."
auid,"Original authenticated identity (Audit User ID); stable initiator anchor across sudo/su and privilege transitions."
uid,"Active/effective user ID at the time of the event; captures current privilege context (may differ from auid)."
session_id,"Audit session identifier (from ses); groups actions within the same login/session context."
tty,"Normalized controlling TTY (e.g., pts/1); distinguishes interactive sessions vs non-interactive/background execution."
terminal,"Raw terminal/channel field as logged (may overlap with tty); retained to preserve source semantics."
src_ip,"Remote/source IP when present (from addr); aligns ingress origin with auth/dns where applicable."
src_hostname,"Remote/source hostname when present (from hostname); distinct from local host that emitted the log."
pid,"Process ID that generated the record; supports short-range chaining of related actions."
ppid,"Parent process ID; enables process-tree provenance (who spawned whom)."
process_exe,"Full executable path (from exe); higher fidelity than process_name for identifying the true binary."
process_name,"Short process name (from comm); stable token for grouping by program family."
process_title,"Full argv/proctitle (decoded); captures invocation parameters for behavior-equivalence alignment."
command,"Recorded command payload when available (decoded); aligns action intent across audit/auth."
cwd,"Current working directory; execution context signal (e.g., web directory vs home directory)."
syscall,"Kernel syscall identifier when present; low-level action primitive for precise behavior alignment."
outcome,"Outcome indicator from audit (e.g., res=success/failure); supports cross-log success/failure alignment."