host,"Hostname/device that emitted the log; scopes events and supports cross-host correlation."
program,"Emitting subsystem/component (e.g., kernel, systemd, CRON, networkd); anchors template selection and grouping."
pid,"Process ID when present; links multi-line service actions and daemon messages."
event_family,"High-level semantic bucket (service/kernel_net/network_config/time_sync/etc.); coarse alignment across diverse templates."
event_action,"Action verb (started/stopped/configured/changed/suppressed/etc.); aligns lifecycle semantics."
object_name,"Primary acted-on object (service/unit/interface/hostname); enables object-centric correlation across events."
iface,"Network interface identifier (ensX/lo); anchors network-state events to a concrete device."
dst_ip,"Peer/remote IP mentioned (e.g., NTP server, gateway, upstream); aligns external dependencies."
user,"User identity when present (e.g., CRON root); distinguishes user-initiated vs system-initiated actions."
outcome,"Status/severity/outcome token (info/warn/error/success/failure); normalizes operational signals."
command,"Executed command string when present (e.g., cron task, shell command, sudo COMMAND); captures concrete action payload for behavior alignment across audit/auth/syslog."